,title,created_utc
105,Scientists discover China has been secretly emitting banned ozone-depleting gas,05-22-2019 15:35:12
106,Turkey has audio and video evidence showing that Saudi agents tortured & killed journalist Jamal Khashoggi inside the Saudi Consulate in Turkey,10-12-2018 07:47:45
107,Shenzhen becomes first city in China to ban consumption of cats and dogs,04-02-2020 00:08:34
108,Hong Kong officially kills China extradition bill that sparked months of violent protests,10-23-2019 03:31:27
109,"'Heartbreaking,' Say Global Experts, Alarmed at Signs US Has 'Given Up' Fight to Stop Covid-19: ""I can't imagine what it must be like having to go to work knowing it""s unsafe,"" said one expert in New Zealand. ""It's hard to see how this ends.""",06-20-2020 09:49:27
110,India decriminalises homosexuality.,09-06-2018 02:21:12
111,Superstar German DJ ‘permanently banned’ from China for liking a ‘South Park’ tweet,10-12-2019 07:56:06
112,Politician who opposes mandatory chickenpox vaccinations contracts chickenpox,03-19-2019 11:11:42
113,"New vaccines must not be monopolised, G7 tells Donald Trump - World leaders at a G7 video summit told Donald Trump that medical firms must share and coordinate research on coronavirus vaccines rather than provide products exclusively to one country.",03-17-2020 09:45:08
114,Coca-Cola Named Most Polluting Brand in Global Audit of Plastic Waste,10-23-2019 15:35:04
115,"Nurses have quit en masse from Russia’s top coronavirus hospital in Moscow over poor working conditions and low wages. They reportedly quit because they were denied clean protective gear, food and adequate accommodations, and were not paid bonuses promised by President Vladimir Putin.",04-27-2020 13:46:05
116,Paradise Papers leak reveals secrets of world elite's hidden wealth,11-05-2017 13:04:27
117,North and South Korea agree to carry single flag at Winter Olympics and field joint women's ice hockey team,01-17-2018 08:17:06
118,"Top Iranian Presidential Adviser Says Tehran's 'Sole Problem is Trump,' Not Average American People: ""We have zero problems with the American people. We even achieved deals with previous US administrations. Our sole problem is Trump,"" Ashena said",01-06-2020 11:45:05
119,"U.S. refuses to join global COVID-19 vaccine effort because it is ""led by the WHO""",09-01-2020 17:20:41
120,"Whistleblower who escaped Chinese 're-education camp' reveals horrors of the gulag: Ex-teacher tells how inmates were flayed, raped by guards in front of other prisoners, and given injections that made them infertile",10-28-2019 12:59:29
121,Anonymous Hackers Target TikTok: ‘Delete This Chinese Spyware Now’,07-01-2020 12:13:17
122,All 48 London Bridge attack victims who made it to hospital have survived,06-09-2017 08:04:20
123,Girl goes viral on China owned TikTok for calling Muslim camps a second Holocaust,11-26-2019 12:41:12
124,Facebook is thinking about removing anti-vaccination content as backlash intensifies over the spread of misinformation on the social network,02-14-2019 20:35:27
125,Scotland bans companies based in tax havens from accessing coronavirus bailout money,05-21-2020 08:41:26
126,"Chinese embassy has threatened Swedish government with ""consequenses"" if they attend the prize ceremony of a chinese activist. Swedish officials have announced that they will not succumb to these threats.",11-15-2019 06:35:00
127,United States Surpasses China in Coronavirus Cases; Now Leads the World,03-26-2020 16:43:23
128,No active cases and no new cases of Covid-19 in New Zealand,06-07-2020 21:05:22
129,U.S. Says China’s Repression of Uighurs Is ‘Genocide’,01-19-2021 12:04:49
130,"Senate defies Trump, passes historic resolution to end US support for Saudi Arabia in Yemen war",03-13-2019 22:31:51
131,Japanese government allows taxis to refuse to pick up maskless passengers.,11-08-2020 08:19:32
132,Japan auto companies triple Mexican pay rather than move to US,07-05-2020 14:31:41
133,"A biotech startup has managed to 3-D print fake rhino horns that carry the same genetic fingerprint as the actual horn. The company plans to flood Chinese rhino horn market at one-eighth of the price of the original, undercutting the price poachers can get and forcing them out eventually.",06-20-2015 12:41:11
134,The body of a missing Mexican congresswoman has been found in a shallow grave more than a month after she was abducted by armed men while raising awareness about the coronavirus pandemic,06-03-2020 13:59:54
135,Trump publicly admits he fired White House official as retaliation for impeachment testimony: 'He was very insubordinate',02-08-2020 10:17:27
136,"Apple, the world's most profitable firm, has a secretive new structure allowing it to continue avoiding billions in taxes, Paradise Papers show. They sidestepped a 2013 crackdown by actively shopping around for a tax haven, landing $252bn on the Channel Island of Jersey.",11-06-2017 14:09:59
137,"The family of a British teenager killed in a road accident involving the wife of a American diplomat in August 2019 has called for the UK government to block the extradition of Julian Assange to the US, unless Washington agrees to send Anne Sacoolas in the opposite direction.",02-23-2020 13:18:16
138,"Bill Gates calls for COVID-19 meds to go to people who need them, not 'highest bidder'",07-11-2020 06:47:00
139,Ghislaine Maxwell prosecution reveals nearly 3 million pages of evidence,04-06-2021 14:53:37
140,Italy hospital says Dr. Fauci 'welcome with open arms' if Trump removes him from his post,04-15-2020 10:27:19
141,Solomon Islands set to ban Facebook in the name of 'national unity',11-23-2020 05:33:49
142,"Underage girl forced to have sex with Prince Andrew, US court document claims",07-31-2020 12:29:26
143,U.S. ambassador to Panama resigns because he can 'no longer work for Trump'.,01-12-2018 11:27:21
144,World leaders literally laugh at Trump when he claims he has 'accomplished more than almost any administration',09-25-2018 11:12:58
145,Italian port workers refuse arms shipment to Israel,05-16-2021 09:12:54
146,"Over 140 global leaders and experts issued open letter urging world powers to guarantee both coronavirus vaccine and any treatment for Covid-19, when available, be free for everyone in order to put ""the interests of all humanity"" ahead of those of wealthiest corporations and governments.",05-14-2020 18:19:32
147,Canadians fed up with ‘unwanted’ American border crossers who think the pandemic is a ‘farce’.,08-07-2020 12:33:05
148,Majority of Canadians polled want U.S. border closed until end of 2020: Ipsos,07-17-2020 08:18:13
149,"Covid-19 vaccine candidate is 90% effective, says manufacturer",11-09-2020 06:50:43
150,Canada votes to recognize China’s treatment of Uighur population as genocide,02-22-2021 16:31:27
151,"Mexican president vows to bail out the poor, not big companies, in coronavirus response",03-24-2020 02:04:59
152,Leaked documents reveal some of the world’s biggest banks allowed criminals to move dirty money around the world,09-20-2020 13:04:38
153,"UN panel votes 163-5 in support of Palestinian statehood, end of occupation",11-20-2020 12:39:12
154,"Coronavirus: South Korea’s infection rate falls without citywide lockdowns like China, Italy. Officials attribute the decrease to mass testing, improved public communication and the use of advanced technology",03-10-2020 12:29:19
155,Hong Kong police are spraying protesters with blue-dye water cannons to mark them for arrest later,08-31-2019 11:39:15
156,"Auschwitz museum on Latin American migration: “It's important to remember that the Holocaust actually did not start from gas chambers. This hatred gradually developed from words, stereotypes & prejudice through legal exclusion, dehumanization & escalating violence.”",11-27-2018 14:59:53
157,"Minor rape victim’s right to abort outweighs foetus' right to be born : Rajasthan High Court, India",05-03-2020 09:26:07
158,Prince Andrew accuser 'running out of hope' and says 'anyone else would be in jail',08-23-2020 20:28:54
159,"UK expels 23 Russian diplomats, Russian state assets to be frozen as well. More sanctions being announced at 19.00 tonight",03-14-2018 08:50:23
160,"Jeff Bezos makes $98.5 million donation, UK leader calls him out: 'Just pay your taxes'",11-25-2019 19:02:08
161,"Jeff Bezos, world’s richest man, asks public to donate to Amazon relief fund",03-25-2020 08:46:11
162,Moscow residents say they have found that the only way to get the council to clear snow is to write the name of opposition leader Alexei Navalny on it.,02-15-2018 09:28:08
163,"The leaders of France, Germany, the US and UK have issued a joint statement stating ""This is the first offensive use of a nerve agent in Europe since the Second World War"", calling it an assault on UK sovereignty.",03-15-2018 09:11:19
164,"UK officially states China has now broken the Hong Kong pact, considering sanctions",11-12-2020 06:39:51
165,Indian Police file a police case on Greta Thunberg for speaking up for Farmers in India.,02-04-2021 05:33:44
166,Thousands rally in Russia for 8th straight day of anti-Putin protests,07-18-2020 20:04:04
167,Cambridge Analytica dismantled for good? Nope: It just changed its name to Emerdata,05-03-2018 17:45:09
168,"Finland's prime minister said Nordic countries do a better job of embodying the American Dream than the US: ""I feel that the American Dream can be achieved best in the Nordic countries, where every child no matter their background or the background of their families can become anything.""",02-03-2020 11:32:16
169,Terminally ill Canadians win right to use magic mushrooms for end-of-life stress,08-10-2020 09:20:59
170,Italian doctor dies of coronavirus after working without gloves due to shortage,03-19-2020 06:37:28
171,"Trump accused of hypocrisy for ordering the potentially inflammatory killing of a top Iranian general, after a series of tweets emerged from 2011 of him saying former president Obama would start a war with Iran in order to get re-elected",01-03-2020 09:18:05
172,Satellite images reveal China is destroying Muslim graveyards where generations of Uighur families are buried and replaces them with car parks and playgrounds 'to eradicate the ethnic group's identity',10-09-2019 06:33:17
173,"In court filing, FBI accidentally reveals name of Saudi official suspected of directing support for 9/11 hijackers",05-12-2020 18:54:37
174,"Canada to announce marijuana will be legal by July 1, 2018",03-26-2017 21:22:51
175,Lawmakers in Canada and Scotland have pointed to the US as an example of failed coronavirus containment,06-26-2020 20:36:37
176,"After more than 30 years of Islamist rule, Sudan has outlined wide-reaching reforms including allowing non-Muslims to drink alcohol, and scrapping the apostasy law and public flogging. ""We [will] drop all the laws violating the human rights in Sudan,"" Justice Minister Nasredeen Abdulbari said.",07-12-2020 11:21:07
177,"Chaos and bloodshed in Hong Kong district as hundreds of masked men assault protesters, journalists, residents.",07-21-2019 13:47:42
178,New Zealand raises minimum wage and increases taxes on the rich,03-30-2021 22:30:05
179,Angela Merkel: Trump shares blame for US Capitol storming,01-07-2021 05:07:17
180,"Amid a critical shortage, pandemic ventilator inventor makes his design open source",03-27-2020 08:35:36
181,Julian Assange says he was promised a Trump pardon if he would lie about Russia’s DNC hacking,02-19-2020 12:00:14
182,"Anti-vaxxers should forgo ventilators, German doctor says: A German geneticist has said those who turn down the new COVID-19 vaccine should carry a note also refusing intensive care treatment. He also said medical decisions should not be left to conspiracy theorists",12-20-2020 13:32:31
183,Covid nurse death toll now as high as the number of nurses who died during World War One,10-31-2020 02:32:38
184,"Pfizer Vaccine’s Funding Came From Berlin, Not Washington",11-10-2020 00:17:58
185,"US may be violating international law in its response to protesters, UN expert says",06-07-2020 08:32:00
186,Pope Francis calls tax cuts for the wealthy a 'structure of sin' as he tells a Vatican conference the 'rich world can and must end poverty'.,02-07-2020 12:13:31
187,Trump Admits He’s Never Mentioned Bounties to Putin Because He Thinks It’s ‘Fake News’,07-29-2020 07:25:24
188,France hit by 'terror' attack as 'woman beheaded in church' and city shut down,10-29-2020 04:53:25
189,"Norway has issued a threat to Brazil that if rising deforestation in the Amazon rainforest is not reversed, its billion-dollar financial assistance to Brazil’s Amazon fund will fall to zero.",06-22-2017 19:26:46
190,One arrest leads to discovery of global online paedophile network,11-10-2020 14:49:36
191,Chechnya detains 100 gay men in first concentration camps since the Holocaust,04-10-2017 12:21:58
192,"Sikh community prepares 800 meals in 2 hours to help stranded lorry drivers in Dover, Kent.",12-22-2020 14:52:09
193,Same-sex marriage is now legal in Germany,06-30-2017 03:14:04
194,Immune cell which kills most cancers discovered by accident by British scientists in major breakthrough,01-20-2020 12:38:46
195,Armenia and Azerbaijan agreed to end the war,11-09-2020 17:07:25
196,"""Mexican scientist cures the Human Papilloma Virus"" - Eva Ramón Gallegos, a researcher at Mexico National Polytechnic Institute was able to completely eradicate the Human Papilloma Virus (HPV) in 29 patients using non-invasive photodynamic therapy: a method using oxygen and light frequencies.",02-08-2019 12:06:28
197,Woman who coughed at two paramedics and said 'I have the virus' is jailed for six months,07-02-2020 05:06:58
198,"UAE announces relaxing of Islamic laws for personal freedoms - The United Arab Emirates announced on Saturday a major overhaul of the country’s Islamic personal laws, allowing unmarried couples to cohabitate, loosening alcohol restrictions and criminalizing so-called “honor killings.”",11-07-2020 05:49:46
199,Edward Snowden: Facebook is a surveillance company rebranded as 'social media',03-18-2018 21:06:42
200,"‘I’m surprised he’s even heard of us’: Wales hits back after Trump criticises country’s coronavirus response | “I look forward to welcoming Joe Biden here as next president of the United States,” says Plaid Cymru leader",10-08-2020 12:12:21
201,"Pastor sorry after service caused wave of coronavirus infections in France: Thiebault Geyer wanted to say “sorry to God for my selfishness” after officials confirmed that around 2,500 of his parishioners have contracted coronavirus. At least 17 of those have died.",04-02-2020 06:51:23
202,"‘Untold human suffering’: 11,000 scientists from across world unite to declare global climate emergency. ‘Despite 40 years of major global negotiations, we conduct business as usual and have failed to address this crisis,’ group says.",11-05-2019 10:21:02
203,"Ontario new math curriculum to introduce coding, personal finance starting in Grade 1",06-23-2020 14:43:58
204,France announces it has killed the leader of Al Qaeda in North Africa during an operation in Mali,06-05-2020 16:42:52
205,"Trump told China's president that building concentration camps for millions of Uighur Muslims was 'exactly the right thing to do,' former adviser says",06-17-2020 20:46:00
206,"Sudan’s new government has outlawed the practice of female genital mutilation, a move hailed as a major victory by women’s rights campaigners in a country where the often dangerous practice is widespread.",04-30-2020 19:32:02
207,Taiwan’s president Tsai Ing-wen calls on international community to stand by Hong Kong,11-13-2019 17:04:00
208,Pope Francis denounces climate change deniers,11-20-2017 13:35:15
209,The Australian embassy in Washington DC has reached out to the US State Department after an Australian reporter and cameraman were beaten by police outside the White House while covering a peaceful protest.,06-03-2020 01:56:49
210,Ships owned by cruise giant - Carnival Corporation - emit 10 times more air pollution than all of Europe’s cars,06-18-2019 15:10:49
211,"Biden is set to officially recognize the Armenian genocide, despite warnings from Turkey it could 'worsen ties' even more",04-21-2021 20:23:14
212,Trump sells Qatar $12 Billion of U.S. Weapons days after accusing it of funding Terrorism,06-14-2017 21:49:47
213,"Blizzard Doesn't Respect the Human Rights of Its Customers, Major Rights Organization Says",10-12-2019 17:28:12
214,Russia Moves to Grant Ex-Presidents Lifetime Immunity From Prosecution,11-05-2020 05:47:34
215,"No, Τrump won’t be golfing in Scotland on Inauguration Day, First Minister Nicola Sturgeon says | Pandemic travel ban applies to President Τrump as much as anybody else, the Scotland’s head of government says",01-05-2021 14:04:16
216,"Putin critic who warned he was on Russian hit-list was murdered, police confirm",03-16-2018 12:54:16
217,Biden administration tells Russia to free Navalny and protesters in stark departure from Trump era,01-25-2021 14:02:00
218,Greece bans obese tourists from riding on donkeys,10-09-2018 19:17:26
219,"World is legally obliged to pressure China on Uighurs, leading lawyers say.",07-22-2020 07:17:27
220,Porn Sites in Hong Kong Shut Down to Encourage People to Protest,06-16-2019 16:01:38
221,"Top Climate Scientist Quits USDA, Accuses Trump Administration of Trying to Bury Research",08-05-2019 14:28:18
222,"Humans have now consumed the Earth's natural resources for the year — It's called ""Overshoot Day"", the moment each year when humans have used up more natural resources that the Earth can renew in 12 months.",08-22-2020 14:07:40
223,The U.S. has certified that Hong Kong is no longer politically autonomous from China,05-27-2020 11:54:08
224,British Jews Board of Deputies compares China’s treatment of Uighur Muslims to Nazi Germany,07-23-2020 03:36:04
225,"Twitter deletes over 170,000 accounts tied to Chinese propaganda efforts",06-11-2020 18:44:39
